fips,median_income,county,state
18055,49177.0,Greene,Indiana
18057,94644.0,Hamilton,Indiana
18059,73142.0,Hancock,Indiana
18061,57132.0,Harrison,Indiana
18063,78355.0,Hendricks,Indiana
18065,48235.0,Henry,Indiana
18067,50869.0,Howard,Indiana
18069,52208.0,Huntington,Indiana
18071,49506.0,Jackson,Indiana
18073,59574.0,Jasper,Indiana
18075,44772.0,Jay,Indiana
18077,51119.0,Jefferson,Indiana
18079,49801.0,Jennings,Indiana
18081,68712.0,Johnson,Indiana
18083,46457.0,Knox,Indiana
18085,58402.0,Kosciusko,Indiana
18087,60675.0,LaGrange,Indiana
18089,54249.0,Lake,Indiana
18091,51101.0,LaPorte,Indiana
18093,52092.0,Lawrence,Indiana
18095,47436.0,Madison,Indiana
18097,46692.0,Marion,Indiana
18099,54229.0,Marshall,Indiana
18101,51224.0,Martin,Indiana
18103,47460.0,Miami,Indiana
18105,47075.0,Monroe,Indiana
18107,53610.0,Montgomery,Indiana
18109,62462.0,Morgan,Indiana
18111,53146.0,Newton,Indiana
18113,55033.0,Noble,Indiana
18115,61148.0,Ohio,Indiana
18117,45341.0,Orange,Indiana
18119,48667.0,Owen,Indiana
18121,48788.0,Parke,Indiana
18123,51064.0,Perry,Indiana
18125,52527.0,Pike,Indiana
18127,68044.0,Porter,Indiana
18129,62583.0,Posey,Indiana
18131,48370.0,Pulaski,Indiana
18133,56169.0,Putnam,Indiana
18135,45601.0,Randolph,Indiana
18137,56295.0,Ripley,Indiana
18139,50535.0,Rush,Indiana
18141,50938.0,St. Joseph,Indiana
18143,47123.0,Scott,Indiana
18145,59214.0,Shelby,Indiana
18147,56998.0,Spencer,Indiana
