state_abbr,county,fips,votes_dem,votes_gop,total_votes
PA,Lackawanna,42069,51593,48102,102740
PA,Lancaster,42071,90066,137145,239151
PA,Lawrence,42073,13933,25323,40555
PA,Lebanon,42075,17860,38804,58906
PA,Lehigh,42077,77087,70285,153031
PA,Luzerne,42079,51454,77508,132731
PA,Lycoming,42081,12926,35475,50294
PA,McKean,42083,3802,11159,15572
PA,Mercer,42085,17631,30034,49594
PA,Mifflin,42087,3563,14050,18239
PA,Monroe,42089,31930,31706,65944
PA,Montgomery,42091,251063,160803,427489
PA,Montour,42093,2851,5274,8535
PA,Northampton,42095,65936,71384,142775
PA,Northumberland,42097,9184,24418,34971
PA,Perry,42099,4630,15613,21153
PA,Philadelphia,42101,560542,105418,680227
PA,Pike,42103,9247,16035,26066
PA,Potter,42105,1300,6247,7777
PA,Schuylkill,42107,16724,43937,62750
PA,Snyder,42109,3991,11710,16333
PA,Somerset,42111,7367,27347,35730
PA,Sullivan,42113,756,2318,3168
PA,Susquehanna,42115,5065,13295,19200
PA,Tioga,42117,3642,12928,17334
PA,Union,42119,6138,10605,17400
PA,Venango,42121,5889,15254,22096
PA,Warren,42123,4828,12032,17624
PA,Washington,42125,34436,58941,96945
PA,Wayne,42127,6398,15269,22365
PA,Westmoreland,42129,59506,116427,181740
PA,Wyoming,42131,3573,8375,12418
PA,York,42133,67428,126933,203153
RI,Bristol,44001,14532,8910,24691
RI,Kent,44003,37582,38141,79691
RI,Newport,44005,22680,14975,39761
RI,Providence,44007,141597,90321,241818
RI,Washington,44009,33511,27074,64160
SC,Abbeville,45001,3712,6742,10724
SC,Aiken,45003,25426,45981,74773
SC,Allendale,45005,2722,788,3578
SC,Anderson,45007,21040,56109,80296
SC,Bamberg,45009,3886,2197,6195
SC,Barnwell,45011,4395,4888,9479
SC,Beaufort,45013,29577,39986,72770
SC,Berkeley,45015,30492,44223,78919
SC,Calhoun,45017,3569,3785,7553
SC,Charleston,45019,89048,75233,175850
SC,Cherokee,45021,6089,15165,21754
SC,Chester,45023,6582,7272,14202
SC,Chesterfield,45025,7125,9576,17128
SC,Clarendon,45027,7635,7246,15156
SC,Colleton,45029,7616,9083,17231
SC,Darlington,45031,13866,14973,29636
SC,Dillon,45033,5832,5637,11696
SC,Dorchester,45035,24010,34932,62463
SC,Edgefield,45037,4491,6842,11644
SC,Fairfield,45039,6936,4024,11252
SC,Florence,45041,26630,29498,57770
SC,Georgetown,45043,13234,17334,31519
SC,Greenville,45045,73338,125595,211572
SC,Greenwood,45047,10633,16881,28600
SC,Hampton,45049,5163,3483,8794
SC,Horry,45051,36731,83819,124503
SC,Jasper,45053,7789,6100,14216
